#,Product Name,Technical Name
49,KRANTI – Emamectin Benzoate 1.5% + Fipronil 3.5% SC Insecticide,Emamectin Benzoate 1.5% + Fipronil 3.5% SC
50,Krishibhandar TROBIN Azoxystrobin 23% SC Systemic Fungicide,Azoxystrobin 23% SC
51,"Krishikranti TAPRIDE 4G Cartap Hydrochloride 4% GR  Granular Insecticide for Stem Borer, Leaf Folder & Caterpillar Contr",4G Cartap Hydrochloride 4% GR
52,Krishikranti ANTIGO Abamectin 1.9% EC Insecticide,Abamectin 1.9% EC
53,Krishikranti RAFTAAR Pyriproxyfen 10% + Bifenthrin 10% EC Insecticide for Whitefly & Sucking Pest Control,Pyriproxyfen 10% + Bifenthrin 10% EC
54,Krishikranti Pyrimoon Pyriproxyfen 10% EC Insecticide,Pyriproxyfen 10% EC
55,"Krishikranti PUNCH Captan 70% + Hexaconazole 5% WP, Unique Combination of Contact and Systemic Mode of Action",Captan 70% + Hexaconazole 5% WP
56,Krishikranti Seaweed Extract Powder Fertilizer | Organic Growth Promoter for All Crops,Seaweed Extract Powder Organic
57,"Krishikranti Fulvic Acid (Fulvic Acid: 50%), Improve Plant Root System, Increase Plant immunity and Growth Booster",Fulvic Acid 50%
58,Krishikranti Amino Acid Powder 80% – Organic Plant Growth Booster for All Crops,Amino Acid 80%
59,Krishikranti Zinc EDTA 12% Chelated Zinc Micronutrient Fertilizer,Zinc EDTA 12% Chelated
60,"Krishikranti Boron 20%, Fertilizer For Foliar and Fertigation Use, Quick Solubility & High Uptake",Boron 20% EDTA
61,Krishikranti THIOMAX Plus Thiamethoxam 75% SG Insecticide for Sucking Pest Control,Plus Thiamethoxam 75% SG
62,"Krishikranti TUCOL Propineb 70% WP, A Contact, Systemic Fungicide with Broad-Spectrum Activity",Propineb 70% WP
63,"Krishikranti NEMTOD Verticillium chlamydosporium Bio-Nematicide  Biological Nematode Control for Root-Knot, Cyst & Renif",Verticillium Chlamydosporium Bio Nematicide
64,"All in One 10,000 PPM Neem Oil | Organic Insecticide",Neem Oil 10000 PPM (Azadirachtin)
65,krishikranti ORGANO KILLER  - Larvicide,Organic Larvicide
66,"Krishikranti GOLD Fipronil 0.3% GR | Granular Insecticide for Termite, Stem Borer, Leaf Folder & Soil Pest Control in Pa",Fipronil 0.3% GR
67,Krishikranti DIZOXY TOP Azoxystrobin 18.2% + Difenoconazole 11.4% Sc,Azoxystrobin 18.2% + Difenoconazole 11.4% SC
68,"Krishikranti Safal Mono Zinc | Zinc Sulphate 33% + Sulphur 15% Micronutrient Fertilizer for Paddy, Wheat, Maize, Cotton ",Zinc Sulphate 33% + Sulphur 17%
69,Krishikranti Micronutrient Mix Liquid Fertilizer | Complete Chelated Micronutrient Mix for Healthy Crop Growth,Chelated Micronutrient Mix Liquid
70,"Krishikranti German Plus Cypermethrin 3% + Quinalphos 20% EC  Combination Insecticide for Bollworm, Stem Borer, Pod Bore",Plus Cypermethrin 3% + Quinalphos 20% EC
71,Krishikranti AURA PLUS Dinotefuran 15% + Pymetrozine 45% WG Systemic Insecticide for Sucking Pests,Dinotefuran 15% + Pymetrozine 45% WG
72,Krishikranti Emaan Plus Emamectin Benzoate 3.0% + Thiamethoxam 12.0% WG Insecticide for Caterpillar & Sucking Pest Contr,Plus Emamectin Benzoate 3.0% + Thiamethoxam 12.0% WG
73,Krishikranti Temrex Tembotrione 34.4% SC – Post-Emergence Herbicide for Maize Weed Control,Tembotrione 34.4% SC
74,Insectastop Pymetrozine 50% Wg ( 1+1 Free ),Pymetrozine 50% WG
75,VIRUS FREE ( 1+1 Free ),Plant Virus Control (Bio)
76,Humic Acid 98% + Fulvic Acid Fertilizer for Plants | Krishikranti Humiroot,Humic Acid 98% + Fulvic Acid (Super Potassium Humate)
77,Emaan Emamectin Benzoate 5% Sg ( 1+1 Free ),Emamectin Benzoate 5% SG
78,All Expert Bio Pesticide Liquid ( 1+1 Free ),Verticillium Lecanii + Beauveria Bassiana + Metarhizium Bio Pesticide
79,All in one PPM Neem Oil ( 1+1 Free ),Neem Oil 10000 PPM
80,Seaweed Extract (Premium Quality) ( 1+1 Free ),Seaweed Extract Premium
81,Super Silicon Super Spreader ( 1+1 Free ),Silicon Based Spreader (Orthosilicic Acid)
82,All Expert Bio Pesticide Powder ( 1+1 Free ),Verticillium Lecanii + Beauveria Bassiana + Metarhizium Bio Pesticide
83,All-in-One Organic Fungicide ( 1+1 Free ),Organic Fungicide (Multi-action)
84,Gibberellic Acid 0.001% Growth Regulator by Grow Genius | 1+1 Free,Gibberellic Acid 0.001% L
85,"Krishikranti Germen-505 Chlorpyriphos 50% + Cypermethrin 5% EC | High-Strength Combination Insecticide for Bollworm, Ter",Chlorpyriphos 50% + Cypermethrin 5% EC
86,"Krishikranti Proper-404 Profenophos 40% + Cypermethrin 4% EC  Combination Insecticide for Bollworm, Whitefly, Jassid & M",Profenophos 40% + Cypermethrin 4% EC
87,"Krishikranti PRALAYA Cypermethrin 0.25% DP Insecticide Powder — Dustable Powder for Termite, Bollworm, Stem Borer & Stor",Cypermethrin 0.25% DP
88,"Krishikranti Ortho-2 – Orthosilicic Acid 2% for Stronger, Healthier Crop Growth",Orthosilicic Acid 2%
89,krishikranti AURA-20 Dinotefuran 20% SG Systemic Insecticide for Sucking Pests Control,Dinotefuran 20% SG
90,Krishikranti VRIDDHI Chlormequat Chloride 50% SL Plant Growth Regulator for Crop Growth Control & Yield,Chlormequat Chloride 50% SL
91,"Krishikranti Virus Free | Plant Virus Control Solution for All Crops | Yellow Mosaic, Leaf Curl & Vein Mosaic Disease Ma",Plant Virus Control (Bio)
92,"Krishikranti FOUNDER Buprofezin 15% + Acephate 35% WP Combination Insecticide for BPH, WBPH, Jassid & Sucking Pest Contr",Buprofezin 15% + Acephate 35% WP
93,Krishikranti Power Booster – Strong Plant Growth Regulator for Faster Growth & Higher Yield,Multi-hormone Plant Growth Regulator
94,"Krishikranti Lambda Knight Lambda Cyhalothrin 5% EC | Synthetic Pyrethroid Insecticide for Bollworm, Caterpillar & Sucki",Knight Lambda Cyhalothrin 5% EC
95,Krishikranti AMINO Amino Acid 80% Fertilizer – Plant Growth Promoter for Healthy Crops,Amino Acid 80%
96,Krishikrant Calcium Solubilizing Bacteria Bio Fertilizer |CSB for Soil Calcium,Calcium Solubilizing Bacteria (CSB) Bio Fertilizer
97,Krishikranti Silica Bio Fertilizer | Silica Solubilizing Bacteria (SSB) for Strong Plants & Better Nutrient Uptake,Silica Solubilizing Bacteria Bio Fertilizer
98,"Krishikranti Atank Acephate 75% SP | Systemic Organophosphate Insecticide for Aphid, Jassid, Bollworm & Stem Borer Contr",Acephate 75% SP
99,Krishikranti Kala Amrit Humic & Fulvic Acid 98% and mix micro Fertilizer for Soil Health & Crop Growth,Humic Acid + Fulvic Acid 98% + Micronutrient Mix
100,Krishikranti Seaweed Extract Fertilizer (Premium Quality) for Plant Growth & Yield Improvement,Seaweed Extract Liquid Fertilizer
101,Krishikranti All Clear Organic Weedicide,Organic Weedicide
102,Krishikranti DELTOS-25 Deltamethrin 2.5% SC Insecticide for Sucking & Chewing Pest Control,Deltamethrin 2.5% SC
103,"Krishikranti Atrazine 50% WP Herbicide for Maize, Sugarcane & Grass Weed Control",Atrazine 50% WP
104,"Krishikranti SEVAK Pyrazosulfuron Ethyl 10% WP Herbicide for Paddy | Dose, Uses & Weed Control Guide",Pyrazosulfuron Ethyl 10% WP
105,"Krishikranti FERTAP-GOLD Chlorantraniliprole 0.4% GR | Granular Insecticide for Stem Borer, Leaf Folder & Top Borer Cont",Chlorantraniliprole 0.4% GR
106,Krishikranti BHOOMITRA VAM Bio Fertilizer Powder | Vesicular Arbuscular Mycorrhiza for Root Growth & Nutrient Uptake,Vesicular Arbuscular Mycorrhiza (VAM) Bio Fertilizer
107,Krishikranti ORIGEN - Fipronil 4% + Thiamethoxam 4% SC,- Fipronil 4% + Thiamethoxam 4% SC
108,Krishikranti Acetobacter Biofertilizer Liquid for Natural Nitrogen Fixing & Healthy Plant Growth,Acetobacter Bio Fertilizer
109,Krishikranti Acetobacter Bio Fertilizer | Nitrogen Fixing Bacteria for Sugarcane & Crop Growth,Acetobacter Bio Fertilizer
110,Krishikranti Activator Waste Decomposer Bio Fertilizer Powder,Waste Decomposer Bio Fertilizer
111,Krishikranti Azospirillum Bio Fertilizer | Nitrogen Fixing Bacteria for Better Root Growth & Yield,Azospirillum Bio Fertilizer
112,Krishikranti Azotobacter Nitrogen Fixing Bio Fertilizer | Improve Soil Nitrogen & Crop Growth Naturally,Azotobacter Bio Fertilizer
113,Krishikranti KMB Potash Mobilizing Bacteria Bio Fertilizer Powder | Organic Potash Fertilizer for Better Yield & Soil He,Potash Mobilizing Bacteria (KMB) Bio Fertilizer
114,Krishikranti NPK Consortia Bio Fertilizer Powder – High CFU Organic Booster for Strong Crop Growth (5×10⁸/g),NPK Consortia Bio Fertilizer
115,Krishikranti PHORIX Phosphate Solubilizing Bacteria Bio Fertilizer for Crops,Phosphate Solubilizing Bacteria (PSB) Bio Fertilizer
116,Krishikranti Rhizobium Nitrogen Fixing Bio Fertilizer for Healthy Crops,Rhizobium Bio Fertilizer
117,Krishikranti Sulphur & Iron Bacteria Bio Fertilizer Powder for Soil Fertility & Micronutrient Availability,Sulphur & Iron Bacteria Bio Fertilizer
118,Krishikranti Zincvardhak | Zinc Solubilizing Bio Fertilizer for Healthy Crops,Zinc Solubilizing Bacteria (ZSB) Bio Fertilizer
119,Krishikranti Bacillus Subtilis Bio Fungicide Powder,Bacillus Subtilis Bio Fungicide
120,Krishikranti Pseudomonas Fluorescence Bio Fungicides Powder,Pseudomonas Fluorescence Bio Fungicide
121,Krishikranti Trichoderma Viride Bio Fungicides Powder,Trichoderma Viride Bio Fungicide
122,All Expert Verticillium Lecanii + Beauveria Bassiana + Metarhizium Anisopliae Bio-Pesticide | Triple Fungal Combination ,Verticillium Lecanii + Beauveria Bassiana + Metarhizium Bio Pesticide
123,Beauveria Bassiana Bio Pesticide – Natural Insect Control for Crops,Beauveria Bassiana Bio Pesticide
124,Krishikranti Metarhizium Anisopliae Bio Pesticide | CFU 2×10⁸/ml | Soil & Insect Pest Control,Metarhizium Anisopliae Bio Pesticide
125,Krishikranti Paecilomyces Lilacinus Bio Insecticide | CFU 2×10⁸/ml | Nematode Control,Paecilomyces Lilacinus Bio Insecticide
126,"Krishibhandar Sporothrix Fungorum Bio-Pesticide | Organic Bio-Acaricide for Red Mite, Spider Mite, Whitefly, Aphid, Thri",Sporothrix Fungorum Bio Pesticide
127,"Krishikranti Verticillium Lecanii Natural Bio-Insecticide | Organic Control for Whitefly, Aphid, Thrips, Jassid, Mealybu",Verticillium Lecanii Bio Insecticide
128,"Krishikranti Bactend Bactericide for Paddy, Cotton & Vegetables | Bactend Dose, Uses & BLB Control",Bactericide (Copper-based)
129,"Krishikranti Trichoderma Harzianum Bio Fungicide & Bio Nematicide for Root Rot, Wilt and Nematode Control",Trichoderma Harzianum Bio Fungicide & Nematicide
130,Krishikranti Ampelomyces Quisqualis Bio fungicide,Ampelomyces Quisqualis Bio Fungicide
131,krishikranti Tapride Cartap Hydrochloride 50% SP Insecticide for Stem Borer & Caterpillar Control,Cartap Hydrochloride 50% SP
132,"Krishikranti B-Pro Buprofezin 25% SC Insecticide – Whitefly & Hopper Control | Uses, Dose & Price",Buprofezin 25% SC
133,Krishikranti Grow Booster Homobrassinolide 0.04% Plant Growth Regulator for Flowering & Yield Improvement,Homobrassinolide 0.04%
134,Krishikranti Boron 20% EDTA Micronutrient Fertilizer for Flowering & Crop Yield,Boron 20% EDTA
135,Krishikranti K-MITRA Potash Mobilizing Bacteria (KMB) Bio Fertilizer for Soil Fertility & Crop Growth,Potash Mobilizing Bacteria (KMB) Bio Fertilizer
136,Krishikranti Super Silicon Super Spreader | Silicon Based Spreader for Crops,Silicon Based Spreader (Orthosilicic Acid)
137,"Krishikranti 2,4-D Ethyl Ester 38% EC Herbicide for Broadleaf Weed Control in Wheat & Paddy",D Ethyl Ester 38% EC
138,Krishikranti Thioshield Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC Insecticide for Sucking & Chewing Pest Control,Thiamethoxam 12.6% + Lambda Cyhalothrin 9.5% ZC
139,Krishikranti  Bacillus Subtilis Bio Fungicide,Bacillus Subtilis Bio Fungicide
140,Krishikranti Humiroot Humic Acid + Fulvic Acid 98% Organic Plant Growth Fertilizer,Humic Acid + Fulvic Acid 98%
141,Krishikranti Oscar Thifluzamide 24% SC  Powerful Fungicide for Sheath Blight & Soil-Borne Diseases,Thifluzamide 24% SC
142,Krishikranti Suvirat Premium Seaweed Extract Liquid Fertilizer,Seaweed Extract Premium Liquid Fertilizer
143,"Krishikranti Molothion Malathion 50% EC Insecticide for Aphids, Mosquito & Sucking Pest Control",Malathion 50% EC
144,Krishikranti Suvistin Carbendazim 50% WP Broad Spectrum Systemic Fungicide.,Carbendazim 50% WP
145,Krishikranti Zinc 12% EDTA Chelated Zinc Fertilizer for Crop Growth,Zinc EDTA 12% Chelated
146,Krishikranti All-in-One Organic Fungicide,Organic Fungicide (Multi-action)
147,Krishikranti Dubble Power - Plant Growth Regulator,Plant Growth Regulator (Multi-action)
148,Krishikranti Dhamaka Bio Stimulant – Natural Plant Growth Booster,Bio Stimulant Plant Growth Booster
149,Krishikranti JIVAN Sodium Para-Nitro Phenolate 0.3% SL Plant Growth Regulator for Crop Growth & Yield,Sodium Para-Nitro Phenolate 0.3% SL
150,Krishikranti Paclo-23 Paclobutrazol 23% SC Plant Growth Regulator for Flowering & Growth Control,Paclobutrazol 23% SC
151,Krishikranti Grow Genius Gibberellic Acid 0.001% L Plant Growth Regulator (PGR Spray),Gibberellic Acid 0.001% L
152,Krishikranti Boost-It Alpha Naphthyl Acetic Acid 4.5 SL Plant Growth Regulator (NAA 4.5 SL),Alpha Naphthyl Acetic Acid (NAA) 4.5% SL
153,"Krishikranti Custom Azoxystrobin 11% + Tebuconazole 18.3% SC Fungicide | Broad-Spectrum Disease Control for Paddy, Wheat",Azoxystrobin 11% + Tebuconazole 18.3% SC
154,Krishikranti Bhoogol Tricyclazole 75% Wp,Tricyclazole 75% WP
155,Krishikranti Susafe : Carbendazim 12% + Mancozeb 63% WP,Carbendazim 12% + Mancozeb 63% WP
156,Krishikranti HERITAGE-70 Thiophanate Methyl 70% WP Systemic Fungicide,Thiophanate Methyl 70% WP
157,"Krishikranti Timon Tebuconazole 25.9% EC Systemic Fungicide for Paddy Blast, Sheath Blight, Tikka & Powdery Mildew Contr",Tebuconazole 25.9% EC
158,Krishikranti Metarhizium Anisopliae,Metarhizium Anisopliae Bio Pesticide
159,krishikranti Beauveria Bassiana Bio Pesticide – Natural & Effective Pest Control for Healthy Crops,Beauveria Bassiana Bio Pesticide
160,Krishikranti Verticillium Lecanii Bio Pesticide – Natural Control for Sucking Pests in Crops,Verticillium Lecanii Bio Insecticide
161,krishikranti Paecilomyces Lilacinus Bio Insecticide – Natural Control for Soil Pests & Healthier Crops,Paecilomyces Lilacinus Bio Insecticide
162,krishikranti Sporothrix Fungorum Bio Pesticide - Biological Fungal Disease Control,Sporothrix Fungorum Bio Pesticide
163,Krishikranti  BIOSHAKTI NPK Liquid Consortia Bio Fertilizer – Organic Plant Growth Booster for Higher Yield,NPK Liquid Consortia Bio Fertilizer
164,Krishikranti VAM Bio Fertilizer – Vesicular Arbuscular Mycorrhiza for Root Growth & Soil Fertility,Vesicular Arbuscular Mycorrhiza (VAM) Bio Fertilizer
165,Krishikranti Jadveer Rhizobium Nitrogen Fixing Bio Fertilizer for Legume Crops & Soil Fertility,Rhizobium Bio Fertilizer
166,Krishikranti Zincvardhak Zinc Solubilizing Bacteria Bio Fertilizer for Soil Zinc Availability & Crop Growth,Zinc Solubilizing Bacteria (ZSB) Bio Fertilizer
167,"Krishikranti Sulphur & Iron Bacteria Bio Fertilizer – Liquid Organic Booster for Healthy, Green & Strong Crops",Sulphur & Iron Bacteria Bio Fertilizer
168,Krishikranti PSB Bio Fertilizer Liquid | Phosphate Solubilizing Bacteria for Soil Fertility & Crop Growth,Phosphate Solubilizing Bacteria (PSB) Bio Fertilizer
169,Krishikranti Activator Waste Decomposer Bio Fertilizer,Waste Decomposer Bio Fertilizer
170,Krishikranti Azospirillum Nitrogen Fixing Bio Fertilizer for Soil Fertility & Crop Growth,Azospirillum Bio Fertilizer
171,Krishikranti Azotobacter Nitrogen Fixing Bio Fertilizer for Soil Fertility & Crop Growth,Azotobacter Bio Fertilizer
172,Krishikranti SWISS GOLD Bispyribac Sodium 10% Sc,Bispyribac Sodium 10% SC
173,"Krishikranti Oxyfluorfen 23.5% EC Herbicide for Onion, Garlic & Cotton Weed Control",Oxyfluorfen 23.5% EC
174,Krishikranti PENDIRICH Pendimethalin 38.7% CS Herbicide,Pendimethalin 38.7% CS
175,"Krishikranti SWEEP-58 2,4-D Amine Salt 58% SL Herbicide for Broadleaf Weed Control in Wheat & Paddy",D Amine Salt 58% SL
176,Krishikranti GLYUP 71 Ammonium Salt of Glyphosate 71% Sg,Ammonium Salt of Glyphosate 71% SG
177,"Krishikranti Prima Pendimethalin 30% + Imazethapyr 2% EC Herbicide | Dose, Uses & Weed Control Guide",Pendimethalin 30% + Imazethapyr 2% EC
178,"krishikranti Supend Pendimethalin 30% EC Herbicide | Dose, Uses, Price & Weed Control Guide",Pendimethalin 30% EC
179,"Krishikranti SUMETRA Metribuzin 70% WP Herbicide for Soybean, Potato & Wheat Weed Control",Metribuzin 70% WP
180,Krishikranti Zip Super Fenoxaprop P Ethyl 9.3 % Ec,Fenoxaprop P Ethyl 9.3% EC
181,Krishikranti Paraquat Dichloride 24% SL Herbicide for Fast Weed Control,Dichloride 24% SL
182,Krishikranti Tebsul-75 Tebuconazole 10% + Sulphur 65% Wg,Tebuconazole 10% + Sulphur 65% WG
183,Krishikranti Coxy-50 Copper Oxychloride 50% WP Broad Spectrum Fungicide,Copper Oxychloride 50% WP
184,Krishikranti Metman Metalaxyl 8% + Mancozeb 64% WP Fungicide,Metalaxyl 8% + Mancozeb 64% WP
185,Krishikranti PRABAL-45 Mancozeb 75% WP Fungicide for Broad-Spectrum Disease Control,Mancozeb 75% WP
186,Krishikranti Fungi-5x Hexaconazole 5% Sc,Hexaconazole 5% SC
187,Krishikranti THIALA Thiamethoxam 30% FS – Seed Treatment Insecticide for Early Pest Control,Thiamethoxam 30% FS
188,Krishikranti G-Pro Propargite 57% EC Acaricide (Miticide) for Red Spider Mites Control,Propargite 57% EC
189,"Krishikranti Chlormites Chlorpyriphos 20% EC | Termite, White Grub & Stem Borer Control Insecticide for Cotton, Paddy & ",Chlorpyriphos 20% EC
190,"Krishikranti Pramaan Profenophos 50% EC | Translaminar Insecticide & Acaricide for Bollworm, Aphid, Thrips & Mite Contro",Profenophos 50% EC
191,"Krishikranti Chlormites Pro Chlorpyriphos 50% EC | High-Strength Contact, Stomach & Fumigant Insecticide for Termite, Bo",Pro Chlorpyriphos 50% EC
192,Krishikranti Ethon Hunt | Ethion 50% EC Insecticide & Miticide,Ethion 50% EC
193,Krishikranti Del-28 Deltamethrin 2.8% EC Insecticide for Sucking & Chewing Pest Control,Deltamethrin 2.8% EC
194,krishikranti Insectastop Pymetrozine 50% WG – Best Paddy Insecticide for Brown Plant Hopper Control,Pymetrozine 50% WG
195,Trivax Trichoderma harzianum Bio fungicide,Trichoderma Harzianum Bio Fungicide & Nematicide
196,Krishikranti Ampelomyces Quisqualis Bio Fungicide,Ampelomyces Quisqualis Bio Fungicide
197,"Krishikranti Trichoderma Viride Liquid Bio Fungicide for Root Rot, Wilt & Damping Off Control",Trichoderma Viride Bio Fungicide
198,Krishikranti Pseudomonas fluorescence Bio fungicide,Pseudomonas Fluorescence Bio Fungicide
199,Krishikranti Nutri Growth Mix Micronutrient Super | Chelated Micronutrients for Plants,Chelated Micronutrient Mix
200,GLYUP Glyphosate 41% Sl,Glyphosate 41% SL
201,"Krishikranti Propi-25 Propiconazole 25% EC Fungicide | Sheath Blight, Rust & Powdery Mildew Control for Paddy, Wheat & B",Propiconazole 25% EC
202,"Krishikranti Validaguard Validamycin 3% L Fungicide | Sheath Blight Control in Paddy, Banana Rhizome Rot & Damping Off",Validamycin 3% L
203,"Krishikranti Kavach Fipronil 5% SC Insecticide – Termite & Soil Pest Control | Uses, Dose & Price",Fipronil 5% SC
204,"Krishikranti Neem Oil Azadirachtin 1500 PPM Organic Insecticide | Natural Bio Pesticide for Aphid, Whitefly, Thrips & Su",Neem Oil Azadirachtin 1500 PPM
205,Krishikranti Defender-30 Dimethoate 30% EC — Systemic Insecticide.,Dimethoate 30% EC
206,Krishikranti Bacillus Thuringiensis (BT) Bio Larvicide for Caterpillar & Larva Control,Bacillus Thuringiensis (BT) Bio Larvicide
207,Krishikranti All Expert | Verticillium Lecanii + Beauveria Bassiana + Metarhizium Anisopliae,Verticillium Lecanii + Beauveria Bassiana + Metarhizium Bio Pesticide
208,Krishikranti Bifent-10 EC (Bifenthrin 10% EC) Insecticide.,(Bifenthrin 10% EC
